title,content,tokens
Page 1,1 Untitled2023-01-14,13
Page 2,2Table of Contents1. Leaving Portland2. Duopoly3. Employed - Chris Teso - Medium4. The Gray - Chris Teso - Medium5. Born in a Pandemic - Chris Teso - Medium6. End The War On Cars7. 27 miles in Jefferson Wilderness8. Summiting Mt. Hood9. We Are Surface,76
Page 3,"3Leaving PortlandSource: https://scribe.rip/just-opinions/leaving-portland-b5298aaf5d07 It’s Au gust 18th, and I’m leav ing Port land.",56
Page 4,"4When I moved here in 2007, Port land was a bo hemi an par adis eat the con ﬂu ence of culi nary ge nius, lus cious land scapes, and blind- ing op ti mis m. There was an ex cite men t and pas sion that was in fec- tious. The s tart up e cosys tem just s parked, the New York Times fuck- ing loved us, and we were the envy of the na tion. Com ing from Bos-ton, I had never even con sid ered va ca tion ing here, but after one vis-it, I was happy to call PDX my new home.Most ly, I was e n am ored with the cul ture. Peo ple were am bi- tious, kind, and at the top of their game. It was like the most tal ent- ed peo ple from every in dus try moved here to give each other thebest they had to offer. There was a streak of lib er tar i an is m tem peredwith lib er al kind ness, and every one was ac cept ing of every one’sweird ness. We even brand ed the city around it.Ex cit ed, I set about build ing a new life and a new busi ness. Iraised some cash, em ployed great peo ple, met life long friend s, andbe came one of the ﬁrst s tar tup s to build an of ﬁce space down town. Ibought a house in SE, drank stout s at Horse Brass, and took mydogs to Tabor every evening to bask in the gold en hour light. Thecity was pros per ous. It felt like a warm co coon where we could allmolt into what ev er we want ed to be come.By 2013 the city was grow ing very fast, and I could feel an in- ﬂec tion point was near. It was time for us to choose be tween growthand s tay ing weird. Was this the place to change the world, or was itwhere young peo ple go to re tire? Would we put on big boy pants orstick with the Kilt? Are we Ken’s Ar ti san or Pizza Jerk? Ok, that’s e- nough.Sadly, we chose to stay weird — a word that quick ly be came ape jo ra tive used to cover the crack s form ing in our foun da tion. Likea slow- motion de mo li tion, we went from a city of mo ti vat ed, ac cept- ing, and pas sion ate builder s to a bas tion of lazy anti- capitalist hyp- ocrites that can cel s any one who dis agrees with their ﬂa vor of moral- i ty.",609
Page 5,"5The s tart up e cosys tem never got the cap i tal it need ed. Thehome less never got the men tal and ad dic tion ser vices they need ed.Small busi ness es never got the in cen tives they need ed. Port land gotthe lead er s they want ed, but not the ones we need ed. And the citythat promised to ac cep t every one? Well, it only ac cept s the ide o- logues.We’ve mis tak en pro gres sivis m for progress, com pas sion for en- able men t, speed lim it s for safe ty, tax a tion for pros per i ty, and wokefor rea son. Too harsh? We’re not alone in this de te ri o ra tion, but weare the shin ing ex am ple.C ities die when their tax base de part s, and the smart money hasal ready left. The steady in- ﬂow of Cal i for ni an s pro vides a stop- gap,but there’s a real sad ness in the air—a de featist malaise. I don’tthink this turns around in any per son al ly ac cept able length of time.In fact, I be lieve the worst is yet to come. And for that rea son, I’mout.My crit i cism s of Port land are well doc u ment ed → https://medium.‐com/just-opinions, so I’m not going to roast it fur ther. I’m the cynic thatneeds to leave, so I’ve come to say good bye. I was for tu nate to livean ex tra or di nary life here. For tu nate to have be come close withmany in cred i ble peo ple. For tu nate to meet my wife and have ourﬁrst child here. For tu nate to sell my house and my busi ness. For tu- nate to be in a po si tion to leave.I’m leav ing Port land. In fact, I’m leav ing Ore gon. We still own abusi ness in Port land and have fam i ly that lives there, so I’m not go-ing too far. The land scape is still lus cious, and PNW is still one ofthe best places in the coun try to live. I just want more space and lessdrama. Oh, and to raise an i mal s. Con se quent ly, I’ve bought 10 acresto build a home and farm.See you on the ranch.",587
Page 6,"6DuopolySource: https://scribe.rip/just-opinions/duopoly-da2542e2d01a Tired of di vi sive ness crip pling every as pec t of so ci ety?In our po lit i cal du op oly, po lar iza tion is a fea ture, not a bug, andyour con tin ued sup port of ei ther party makes you com plic it.Du op o lies split peo ple into par ti san tribes to serve share hold er sand s ti ﬂe com pe ti tion. Mas ter Card and Visa, McD and BK, Appleand An droid, Coke and Pepsi. In Wash ing ton’s case, the share hold- er s are not us, they are spe cial in ter est s.",183
Page 7,"7We’re mar ket seg ments in the du op oly’s mar ket ing plan → https://medium.com/just-opinions/cash-rules-everything-round-me-4095f3a5c6b8: Di- vide and dis trac t the elec torate so they end less ly de bate symp tom sand ig nore the dis ease. Yes, news and so cial media are com plic it,but they’re just mar ket ing chan nel s prof it ing from the am pli ﬁ ca tionof the du op oly’s di vi sive mes sag ing. They’re not the source.I hear it all the time… “Our sys tem is so bro ken!”Friend s, the sys tem is work ing per fect ly. Bet ter than ever, as de- signed. They’ve got you heads down ar gu ing which cola tastes bet- ter until you’re so in vest ed in your choice that you ﬁnd al ter na tivesof fen sive e nough to shame con trar i an s → https://medium.com/just-opin‐ions/in-the-middle-3d0b79c7a25c.Just how in sane are you? 80% of you are dis sat is ﬁed with thepar ties. You spend 4 years ar gu ing which one is worse. Then 95% ofyou vote for one of them again.You can con tin ue to argue on the so cial s about, well every thing,or you can begin to dis rup t the du op oly → https://www.uniteamerica.org/.This can be ac com plished by in vest ing in non par ti san so lu tion s,back ing unity can di dates, and fu el ing com pe ti tion, not just out sidethe two par ties, but also from with in.It’s the only way out of this mess. I’m tired of say ing it.",460
Page 8,8Employed - Chris Teso -MediumBy Chris TesoSource: https://christeso.medium.com/employed-f8a1cb7f776e A list of pay ing jobs I’ve held.1. Dish washer 2. Line Cook 3. Bus Boy 4. Host 5. Bouncer 6. Waiter 7. Bar tender 8. Bar Back 9. Car Sales man — Holyoke Mall 10. Vic to ria Secret Stock Boy 11. Land scaper 12. House Painter 13. Paper Boy 14. Web Designer/Flash Designer/Web mas ter,127
Page 9,915. Tele mar keter 16. Per sonal Trainer 17. Gym Mem ber ship Sales man 18. Alco hol Anony mous Front Desk Per son 19. Gas Line Tester/Main te nance — Florida Gas and Trans mis sion 20. Pizza Deliv ery Dri ver — Domino’s 21. Bread Deliv ery Dri ver — Piante dosi Bread 22. Flo ral Designer 23. Flower Deliv ery Dri ver 24. Fundraiser — West ﬁeld State Alumni Asso ci a tion 25. Caterer 26. Handy man — Har vard Uni ver sity 27. Counter Sales — Extra Mart — Death Shift 11pm-7am 28. Fish Man/Sales — Petco 29. Pro fes sional Mover 30. CEO 31. Data Entry — Dig i tal Corp. 32. Pur chas ing Assis tant — TJX Corp. 33. Cig a rette Fac tory Worker — Cig a rette Dis trib u tors Corp. 34. Print Designer — Worces ter Phoenix 35. Free lance Pho tog ra pher 36. Drum mer — Losers Day Parade 37. Jet Ski Test Dri ver — Ski doo Florida 38. Nar cotics Dealer — Self Employed 39. Sign Man u fac turer — Sun shine Signs 40. Mar ket Tester,293
Page 10,"10The Gray - Chris Teso -MediumBy Chris TesoSource: https://christeso.medium.com/the-gray-75c3edfb7b64Sec ond protest march out my front door, from Al ber ta Park todown town.Im pres sive turnout. I don’t sus pec t the num ber s will di min ish.My east coast homies, and the rest of the coun try want to knowwhat’s up with Port land. They heard the en tire city is on ﬁre, and a- n ar chy is on the march to their home town. They think the crowd is100% un em ployed white kids de stroy ing shit for no good rea son, hi- jack ing BLM.Truth is, there's a good deal of that. Also there’s vets, moms,teach er s, my neigh bors, and every s in gle other i den ti ty that makeup this city. Each have their rea son s for being in the mix. In come in- equal i ty → https://medium.com/just-opinions/cash-rules-everything-round-me-4095f3a5c6b8, BLM, feds and fas cis m, un em ploy men t, pan dem ic panic,gen er al youth angst, men tal ill ness → https://medium.com/just-opinions/we-are-surface-3d34b9ﬀef96, gov ern men t lies and in ef fec tu al i ty. There’smuch to be angry about.Many are march ing to seek change, while some stay into thewee hours to burn this moth er down. The dis tinc tion be tween ri ot erand pro test er have peo ple choos ing sides in yet an oth er issuethey’ve deemed black and white → https://medium.com/just-opinions/in-the-middle-3d0b79c7a25c. They ig nore nu ance. They see no gray. The me-dia loves the di vide. As the Dark Side says, “Let the hate ﬂowthrough you. Give in to your anger. Click on our link!”.",505
